ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;40265;35040265;21101;MIRACATU;SANTA RITA DE CASSIA;MIRACATU;;2,47
2024;40289;35040289;21101;MIRACATU;JOSE ERMIRIO DE MORAES SENADOR;JUQUIA;;2,63
2024;40319;35040319;10104;NORTE 2;ALFREDO GOMES PROF;SAO PAULO;4,09;3,08
2024;40320;35040320;10207;LESTE 1;CASSIO CIAMPOLINI DEPUTADO;SAO PAULO;4,97;
2024;40332;35040332;10210;LESTE 2;ARLINDO PINTO DA SILVA PROF;SAO PAULO;5,56;
2024;40356;35040356;20313;ITARARE;OCTAVIO DE ALMEIDA BUENO PROFESSOR;ITAPORANGA;;2,81
2024;40368;35040368;20403;BRAGANCA PAULISTA;CONSTANTINO SIMOES DE LIMA PROFESSOR;ATIBAIA;;2,60
2024;40400;35040400;20404;CAMPINAS OESTE;MARIA NEIVA ABDELMASSIH JUSTO PROFESSORA;VALINHOS;;4,11
2024;40423;35040423;20417;CAMPINAS LESTE;ANTONIO CARLOS COUTO DE BARROS DOUTOR;CAMPINAS;5,19;
2024;40435;35040435;20410;PIRACICABA;JOAO SAMPAIO DOUTOR;PIRACICABA;;3,59
2024;40459;35040459;20410;PIRACICABA;JOAO GUIDOTTI;PIRACICABA;;3,74
2024;40496;35040496;10501;MOGI DAS CRUZES;TADAO SAKAI VEREADOR;MOGI DAS CRUZES;;2,02
2024;40502;35040502;10503;ITAQUAQUECETUBA;JOSE BARBOSA DE ARAUJO VEREADOR;ITAQUAQUECETUBA;;1,78
2024;40514;35040514;10502;SUZANO;SEBASTIAO PEREIRA VIDAL;SUZANO;;4,36
2024;40548;35040548;10703;ITAPEVI;NESTOR DE CAMARGO PREFEITO;BARUERI;;
2024;40551;35040551;10703;ITAPEVI;LENIO VIEIRA DE MORAES PROFESSOR;BARUERI;;
2024;40587;35040587;10701;CARAPICUIBA;LUIZ PEREIRA SOBRINHO PROFESSOR;CARAPICUIBA;;2,26
2024;40599;35040599;10701;CARAPICUIBA;JOSE BENICIO DOS SANTOS;CARAPICUIBA;3,69;2,09
2024;40605;35040605;10701;CARAPICUIBA;JORGE JULIAN;CARAPICUIBA;;2,60
2024;40617;35040617;10701;CARAPICUIBA;DERVILLE ALLEGRETTI DEPUTADO;CARAPICUIBA;;2,33
2024;40629;35040629;10701;CARAPICUIBA;MARIA MARQUES DE NORONHA PROFESSORA;CARAPICUIBA;3,97;
2024;40654;35040654;10706;TABOAO DA SERRA;MARIA NELIDA SAMPAIO DE MELLO DONA;EMBU DAS ARTES;4,02;2,94
2024;40666;35040666;10706;TABOAO DA SERRA;ROSANA SUELI FUNARI PROFESSORA;EMBU DAS ARTES;;2,43
2024;40678;35040678;10706;TABOAO DA SERRA;RUBEM CARLOS LUDWIG GENERAL;EMBU DAS ARTES;;2,96
2024;40685;35040685;10706;TABOAO DA SERRA;EDUARDO VAZ DOUTOR;EMBU DAS ARTES;;2,17
2024;40691;35040691;10706;TABOAO DA SERRA;ISABEL LUCCI DE OLIVEIRA PROFESSORA;EMBU DAS ARTES;;2,32
2024;40708;35040708;10702;ITAPECERICA DA SERRA;LEONICE DE AQUINO OLIVEIRA;EMBU-GUACU;;2,68
2024;40721;35040721;10702;ITAPECERICA DA SERRA;SALVADOR DE LEONE;ITAPECERICA DA SERRA;;4,13
2024;40733;35040733;10702;ITAPECERICA DA SERRA;MASSAKO HIGASHIOKA PROFESSORA;ITAPECERICA DA SERRA;;2,59
2024;40745;35040745;10702;ITAPECERICA DA SERRA;EDUARDO ROBERTO DAHER;ITAPECERICA DA SERRA;;2,17
2024;40757;35040757;10702;ITAPECERICA DA SERRA;JOAQUIM FERNANDO PAES DE BARROS NETO;ITAPECERICA DA SERRA;;3,32
2024;40769;35040769;10706;TABOAO DA SERRA;DOMINGOS MIGNONI;TABOAO DA SERRA;;3,42
2024;40770;35040770;10704;OSASCO;NEUZA DE OLIVEIRA PREVIDE PROFESSORA;OSASCO;;2,58
2024;40800;35040800;10704;OSASCO;ARMANDO GABAN PROFESSOR;OSASCO;;2,03
2024;40824;35040824;20102;SANTOS;IGNACIO MIGUEL ESTEFNO;GUARUJA;;2,22
2024;40836;35040836;20204;PINDAMONHANGABA;YONNE CESAR GUAYCURU DE OLIVEIRA PROFESSORA;PINDAMONHANGABA;;
2024;40848;35040848;20301;APIAI;MARIA DE ALBUQUERQUE DIAS BAPTISTA PROFA;ITAPIRAPUA PAULISTA;;3,02
2024;40859;35040859;20404;CAMPINAS OESTE;PROCOPIO FERREIRA;CAMPINAS;4,22;3,72
2024;40861;35040861;20417;CAMPINAS LESTE;LEONOR ZUHLKE FALSON PROFESSORA;CAMPINAS;6,04;
2024;40873;35040873;20404;CAMPINAS OESTE;JAMIL GADIA DEPUTADO;CAMPINAS;;4,43
2024;40885;35040885;20407;JUNDIAI;JOCENY VILLELA CURADO PROFESSORA;JUNDIAI;;3,03
2024;40939;35040939;20601;BAURU;CARLOS CHAGAS DR;BAURU;3,94;1,91
2024;40964;35040964;10207;LESTE 1;LEONOR RENDESI PROFESSORA;SAO PAULO;3,97;2,31
2024;40976;35040976;10207;LESTE 1;PEDRO DE ALCANTARA MARCONDES MACHADO PROFESSOR;SAO PAULO;;2,52
2024;40988;35040988;10207;LESTE 1;MARIA AUGUSTA CORREA PROFESSORA;SAO PAULO;4,40;2,79
2024;40997;35040997;10317;SUL 1;CLOVIS DE OLIVEIRA PROFESSOR DOUTOR;SAO PAULO;;2,51
2024;41002;35041002;10314;SUL 2;RONALDO GARIBALDI PERETTI PROFESSOR;SAO PAULO;;2,25
2024;41014;35041014;10317;SUL 1;GUIOMAR NOVAES;SAO PAULO;5,38;
2024;41026;35041026;10314;SUL 2;JOITI HIRATA;SAO PAULO;6,44;3,28
2024;41038;35041038;10314;SUL 2;ANTONIO MANOEL ALVES DE LIMA;SAO PAULO;;3,41
2024;41048;35041048;10317;SUL 1;MANOEL TABACOW HIDAL PROFESSOR;SAO PAULO;;2,95
2024;41051;35041051;10314;SUL 2;CAROLINA CINTRA DA SILVEIRA PROFESSORA;SAO PAULO;;2,46
2024;41063;35041063;10314;SUL 2;LUIS MAGALHAES DE ARAUJO PROFESSOR;SAO PAULO;;
2024;41075;35041075;10401;CAIEIRAS;ARTHUR WEINGRILL;MAIRIPORA;;3,66
2024;41099;35041099;10403;GUARULHOS NORTE;ALLYRIO DE FIGUEIREDO BRASIL PROFESSOR;GUARULHOS;;3,45
2024;41105;35041105;10501;MOGI DAS CRUZES;SYLVIA MAFRA MACHADO PROFESSORA;MOGI DAS CRUZES;;2,95
2024;41117;35041117;10501;MOGI DAS CRUZES;IRACEMA BRASIL DE SIQUEIRA PROFESSORA;MOGI DAS CRUZES;;2,67
2024;41129;35041129;10501;MOGI DAS CRUZES;RUBENS MERCADANTE DE LIMA PROFESSOR DOUTOR;MOGI DAS CRUZES;;3,49
2024;41130;35041130;10501;MOGI DAS CRUZES;NARCISO YAGUE GUIMARAES VEREADOR;MOGI DAS CRUZES;;2,55
2024;41142;35041142;10501;MOGI DAS CRUZES;THIMOTEO VAN DEN BROECK FREI;MOGI DAS CRUZES;;2,95
